candidates,party_short,color,list
5323,FDP,#0000FF,FDP
5326,SVP,#4F7942,SVP
5329,EDU,#00008B,EDU
5332,GLP,#32CD32,GLP
5340,SP,#FF0000,SP
5358,SP,#FF0000,SP
5364,JEVP,#FFA500,EVP
5371,Übrige,#888888,Übrige
5385,SVP,#4F7942,SVP
5402,SP,#FF0000,SP
5407,GLP,#32CD32,GLP
5413,FDP,#0000FF,FDP
5420,Die Mitte,#C56C46,Mitte
5445,SP,#FF0000,SP
5459,SP,#FF0000,SP
5460,GLP,#32CD32,GLP
5462,JM,#C56C46,Mitte
5465,Parteilos,#888888,Übrige
5483,EVP,#FFA500,EVP
5484,GLP,#32CD32,GLP
5486,Parteilos,#888888,Übrige
5501,JEVP,#FFA500,EVP
5508,Übrige,#888888,Übrige
5514,Übrige,#888888,Übrige
5521,FDP,#0000FF,FDP
5522,JEVP,#FFA500,EVP
5526,SP,#FF0000,SP
5535,JG,#008000,Grüne
5541,Parteilos,#888888,Übrige
5544,Die Mitte,#C56C46,Mitte
5555,Die Mitte,#C56C46,Mitte
5558,SVP,#4F7942,SVP
5560,JFS,#0000FF,FDP
5562,JSVP,#4F7942,SVP
5565,Übrige,#888888,Übrige
5567,JM,#C56C46,Mitte
5569,JEVP,#FFA500,EVP
5570,JFS,#0000FF,FDP
5575,SP,#FF0000,SP
5581,EVP,#FFA500,EVP
5593,GLP,#32CD32,GLP
5594,GLP,#32CD32,GLP
5597,Die Mitte,#C56C46,Mitte
5598,GLP,#32CD32,GLP
5603,JM,#C56C46,Mitte
5605,Übrige,#888888,Übrige
5609,SP,#FF0000,SP
5614,Die Mitte,#C56C46,Mitte
5624,SVP,#4F7942,SVP
5628,EVP,#FFA500,EVP
5643,Übrige,#888888,Übrige
5644,Die Mitte,#C56C46,Mitte
5647,GLP,#32CD32,GLP
5654,Die Mitte,#C56C46,Mitte
5655,FDP,#0000FF,FDP
5657,JG,#008000,Grüne
5658,EDU,#00008B,EDU
5670,PdA,#888888,Übrige
5673,JFS,#0000FF,FDP
5675,JM,#C56C46,Mitte
5680,SVP,#4F7942,SVP
5682,JFS,#0000FF,FDP
5684,Grüne,#008000,Grüne
5687,SP,#FF0000,SP
5692,EVP,#FFA500,EVP
5694,JG,#008000,Grüne
5696,Übrige,#888888,Übrige
5700,EVP,#FFA500,EVP
5704,GLP,#32CD32,GLP
5708,Grüne,#008000,Grüne
5716,EDU,#00008B,EDU
5730,EDU,#00008B,EDU
5733,SVP,#4F7942,SVP
5742,Übrige,#888888,Übrige
5744,JEVP,#FFA500,EVP
5747,Grüne,#008000,Grüne
5753,JFS,#0000FF,FDP
5758,Übrige,#888888,Übrige
5760,EVP,#FFA500,EVP
5763,Grüne,#008000,Grüne
5770,Parteilos,#888888,Übrige
5771,JFS,#0000FF,FDP
5778,JG,#008000,Grüne
5782,EDU,#00008B,EDU
5784,Die Mitte,#C56C46,Mitte
5790,SP,#FF0000,SP
5800,JM,#C56C46,Mitte
5801,EVP,#FFA500,EVP
5806,JM,#C56C46,Mitte
5812,Grüne,#008000,Grüne
5814,EDU,#00008B,EDU
5816,PdA,#888888,Übrige
5817,JFS,#0000FF,FDP
5820,JGLP,#32CD32,GLP
5823,Die Mitte,#C56C46,Mitte
5829,GLP,#32CD32,GLP
5832,JUSO,#FF0000,SP
5844,JGLP,#32CD32,GLP
5847,Grüne,#008000,Grüne
5848,Übrige,#888888,Übrige
5855,GLP,#32CD32,GLP
5862,JUSO,#FF0000,SP
5884,EDU,#00008B,EDU
5887,Grüne,#008000,Grüne
5888,JM,#C56C46,Mitte
5899,Die Mitte,#C56C46,Mitte
5905,Die Mitte,#C56C46,Mitte
5906,JM,#C56C46,Mitte
5908,GLP,#32CD32,GLP
5912,EDU,#00008B,EDU
5915,SVP,#4F7942,SVP
5918,JM,#C56C46,Mitte
5921,Die Mitte,#C56C46,Mitte
5922,Grüne,#008000,Grüne
5923,JUSO,#FF0000,SP
